id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2021-14862,2021-03-30,000001,Vente,4995411.5,61,,GRAFFINEL,B033,05000,05061,Gap,05,,,05061000BY0029,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,3896,0,S,sols,,,4311,6.055951,44.539058
2021-14862,2021-03-30,000001,Vente,4995411.5,,,GRAFFINEL,B033,05000,05061,Gap,05,,,05061000BY0198,,,,,,,,,,,,,0,,,,,S,sols,,,2501,6.055449,44.538655
2021-14863,2021-04-09,000001,Vente,310000,160,,RTE DU FOUR,0130,05800,05144,Saint-Jacques-en-Valgodemard,05,,,051440000D0075,,,,,,,,,,,,,0,1,Maison,110,5,T,terres,,,1437,6.035539,44.773827
2021-14864,2021-04-01,000001,Vente,235000,5721,F,SOUS LE CANAL,B169,05800,05142,Saint-Firmin,05,,,05142000AE0730,,,,,,,,,,,,,0,1,Maison,85,4,S,sols,,,500,6.031419,44.780203
2021-14864,2021-04-01,000001,Vente,235000,5721,F,SOUS LE CANAL,B169,05800,05142,Saint-Firmin,05,,,05142000AE0730,,,,,,,,,,,,,0,1,Maison,85,4,T,terres,,,687,6.031419,44.780203
2021-14865,2021-04-01,000001,Vente,192795,,,LES BRUS,B009,05300,05070,Laragne-Montéglin,05,,,05070000AA0746,,,,,,,,,,,,,0,,,,,S,sols,,,346,5.82241,44.311853
2021-14865,2021-04-01,000001,Vente,192795,24,B,RUE DU MOULIN,0155,05300,05070,Laragne-Montéglin,05,,,05070000AA0748,,,,,,,,,,,,,0,1,Maison,69,3,S,sols,,,442,5.822617,44.311867
2021-14866,2021-03-26,000001,Vente,127050,5533,,L AGULIER,B003,05260,05004,Ancelle,05,,,050040000B0693,,,131,44.46,45,,,,,,,,2,2,Appartement,45,2,,,,,,6.19922,44.621199
2021-14866,2021-03-26,000001,Vente,127050,5533,,L AGULIER,B003,05260,05004,Ancelle,05,,,050040000B0693,,,19,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.19922,44.621199
2021-14867,2021-04-01,000001,Vente,274540,5723,,SERRE BOREL,B138,05260,05004,Ancelle,05,,,05004000AA0248,,,,,,,,,,,,,0,1,Maison,79,4,S,sols,,,618,6.206418,44.620411
